School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Middle School,285,John Early Middle,386,37208,,,,,,,,65,67,84,103,,,,,,5,273,14,,27,166,153,234,67,11,36.1871534218,-86.8047130677,"(36.1871534218, -86.8047130677)"
17-18,Special Education,397,Harris-Hillman Special Education,302,37212,104,73,51,41,40,43,27,26,22,21,15,9,9,8,106,,34,131,58,2,370,383,212,77,265,27,36.1375948541,-86.8076042098,"(36.1375948541, -86.8076042098)"
17-18,High School,440,Hillwood High,340,37205,,,,,,,,,,,,274,272,291,233,1,84,341,158,1,485,585,485,332,165,116,36.1188066874,-86.8739001973,"(36.1188066874, -86.8739001973)"
17-18,Middle School,545,Madison Middle,622,37115,,,,,,,,141,123,147,181,,,,,,7,323,171,,91,317,275,380,103,120,36.2638940195,-86.7162084879,"(36.2638940195, -86.7162084879)"
17-18,Middle School,120,Jere Baxter Middle,375,37207,,,,,,,,67,77,72,72,,,,,,2,165,80,,41,150,138,214,46,62,36.2190280292,-86.7508830358,"(36.2190280292, -86.7508830358)"
17-18,Elementary School,690,Stanford Elementary,615,37214,55,58,59,57,58,56,52,,,,,,,,,2,18,126,41,1,207,219,176,71,40,21,36.1760762784,-86.6823175115,"(36.1760762784, -86.6823175115)"
17-18,Charter,695,STEM Prep Academy,8006,37210,,,,,,,,127,127,126,124,,,,,,11,56,276,,161,249,255,256,39,334,36.1351446302,-86.7386061567,"(36.1351446302, -86.7386061567)"
17-18,Elementary School,122,Lakeview Elementary,430,37217,9,37,102,114,98,115,131,,,,,,,,,,20,195,219,,172,310,296,299,102,246,36.0788149596,-86.6300723113,"(36.0788149596, -86.6300723113)"
17-18,Charter,181,Cameron College Preparatory,8010,37210,,,,,,,,166,165,152,140,,,,,,8,184,352,,79,306,317,389,74,350,36.148592789,-86.7639990186,"(36.148592789, -86.7639990186)"
17-18,Elementary School,205,Charlotte Park Elementary,110,37209,3,43,88,89,92,60,93,,,,,,,,,,43,99,213,,113,246,222,215,72,209,36.1512452389,-86.8837135472,"(36.1512452389, -86.8837135472)"
